station,name,latitude,longitude,elevation,prcp,tobs,month,day,year,date_format
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.08,65,01,01,2010,2010-01-01
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,63,01,02,2010,2010-01-02
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,74,01,03,2010,2010-01-03
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,76,01,04,2010,2010-01-04
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.040085836909871206,73,01,06,2010,2010-01-06
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.06,70,01,07,2010,2010-01-07
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,64,01,08,2010,2010-01-08
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,68,01,09,2010,2010-01-09
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,73,01,10,2010,2010-01-10
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.01,64,01,11,2010,2010-01-11
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,61,01,12,2010,2010-01-12
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,66,01,14,2010,2010-01-14
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,65,01,15,2010,2010-01-15
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,68,01,16,2010,2010-01-16
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,64,01,17,2010,2010-01-17
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,72,01,18,2010,2010-01-18
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,66,01,19,2010,2010-01-19
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,66,01,20,2010,2010-01-20
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,69,01,21,2010,2010-01-21
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,67,01,22,2010,2010-01-22
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,67,01,23,2010,2010-01-23
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.01,71,01,24,2010,2010-01-24
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,67,01,25,2010,2010-01-25
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.04,76,01,26,2010,2010-01-26
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.12,68,01,27,2010,2010-01-27
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,72,01,28,2010,2010-01-28
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.040085836909871206,70,01,30,2010,2010-01-30
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.03,67,01,31,2010,2010-01-31
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.01,66,02,01,2010,2010-02-01
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0673611111111111,67,02,03,2010,2010-02-03
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.01,69,02,04,2010,2010-02-04
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,67,02,05,2010,2010-02-05
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,67,02,06,2010,2010-02-06
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,64,02,07,2010,2010-02-07
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,69,02,08,2010,2010-02-08
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,73,02,09,2010,2010-02-09
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,73,02,11,2010,2010-02-11
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.02,69,02,12,2010,2010-02-12
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.01,69,02,13,2010,2010-02-13
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,69,02,14,2010,2010-02-14
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,71,02,15,2010,2010-02-15
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,61,02,16,2010,2010-02-16
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,69,02,17,2010,2010-02-17
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0673611111111111,63,02,19,2010,2010-02-19
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.03,64,02,20,2010,2010-02-20
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,65,02,21,2010,2010-02-21
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,67,02,22,2010,2010-02-22
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,68,02,23,2010,2010-02-23
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,65,02,24,2010,2010-02-24
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,76,02,25,2010,2010-02-25
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,75,02,26,2010,2010-02-26
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,66,02,28,2010,2010-02-28
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.01,70,03,01,2010,2010-03-01
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,72,03,02,2010,2010-03-02
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,73,03,03,2010,2010-03-03
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.12,70,03,04,2010,2010-03-04
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.08,71,03,05,2010,2010-03-05
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.03,72,03,06,2010,2010-03-06
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,72,03,07,2010,2010-03-07
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.43,69,03,08,2010,2010-03-08
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.06,70,03,09,2010,2010-03-09
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0890128755364807,73,03,11,2010,2010-03-11
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,72,03,12,2010,2010-03-12
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,73,03,13,2010,2010-03-13
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,70,03,14,2010,2010-03-14
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.06,71,03,15,2010,2010-03-15
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,68,03,17,2010,2010-03-17
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,70,03,18,2010,2010-03-18
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,72,03,21,2010,2010-03-21
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,69,03,22,2010,2010-03-22
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,68,03,23,2010,2010-03-23
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,74,03,24,2010,2010-03-24
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0890128755364807,72,03,26,2010,2010-03-26
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,72,03,27,2010,2010-03-27
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,73,03,28,2010,2010-03-28
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,74,03,29,2010,2010-03-29
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,73,03,30,2010,2010-03-30
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,73,03,31,2010,2010-03-31
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,74,04,01,2010,2010-04-01
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.01,74,04,02,2010,2010-04-02
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.17,74,04,03,2010,2010-04-03
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.15,71,04,04,2010,2010-04-04
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.27,72,04,05,2010,2010-04-05
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.01,75,04,06,2010,2010-04-06
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.0,75,04,08,2010,2010-04-08
USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,0.01,75,04,09,2010,2010-04-09
